home,officials,poule,donotuse,members,schedule,history,email,competition,performed
thuis,8,B,true,8,B,abcdefgh,infor@mantisbv.nl,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
1kangeroes,2kangeroes,A,4,5,6,7bakker@mantisbv.nl,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
2,almonte,thuis heet het almonte heren 1,,,5,,bakker@mantisbv.nl,,,,,,,,,,,,12,,,,,,,,,,,
3,kangeroes,kangeroes,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
4,den bosch,den bosch,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
5,groningen,groningen,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
6,weert,weert,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
7,rotterdam,rotterdam,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
8,amsterdam,amsterdam,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
9,nijmegen,nijmegen,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
10,den helder,den helder,,,,,bakker@mantisbv.nl,,,,,,,,,,,,,,,
